https://github.com/common-workflow-language/common-workflow-language/wiki/Existing-Workflow-systems,,,,,,,,,,,workflow,4069,,,,,,,,,,,,,,,
https://github.com/pditommaso/awesome-pipeline,,,,,,,,,,,pipeline,2067,,,,,,,,,,,,,,,
https://github.com/meirwah/awesome-workflow-engines,,,0.00%,1.44%,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,,
,,,0,7,,0,,0,2239,,,,,,,,,,,,,,,,,,
Totals:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number:,Name:,Link:,Dead:,Containers required:,Interface:,Commercial:,Backend:,Narrow scope:,Ticket count:,,,,,,,,,,,,,,,,,,
487,taskfarmer,,,,Shell,,Process,,379,,,,Process,87,,Process,87,35.22%,,,,Python,82,,Python,82,33.33%
63,Fireworks,https://github.com/materialsproject/fireworks,,,Python,,MongoDB,,300,since 2012,,,Server,35,,Server,35,14.17%,,,,Browser,22,,Browser,22,8.94%
193,Dask,http://dask.pydata.org/en/latest/,,,Python,,Server,,288,,,,SQL,27,,SQL,27,10.93%,,,,Shell,20,,Shell,20,8.13%
480,JAWS,https://jaws-docs.readthedocs.io/en/latest/,,,WDL,,Server,,228,,,,Cloud,22,,Cloud,22,8.91%,,,,YAML,17,,YAML,17,6.91%
229,ADIOS,http://csmd.ornl.gov/adios,,,XML,,Process,,204,,,,Filesystem,19,,Filesystem,19,7.69%,,,,Java,13,,Java,13,5.28%
390,Ray,https://github.com/ray-project/ray,,,Python,,Process,,200,machine learning driver,,,Redis,7,,Redis,7,2.83%,,,,JSON,10,,JSON,10,4.07%
481,GNU Parallel,https://www.gnu.org/software/parallel/,,,Shell,,Process,,153,,,,MongoDB,5,,MongoDB,5,2.02%,,,,Go,9,,Go,9,3.66%
130,Parsl,http://parsl-project.org/,,,Python,,Process,,68,,,,Jupyter,5,,Jupyter,5,2.02%,,,,XML,7,,XML,7,2.85%
371,Joblib,https://joblib.readthedocs.io/en/latest/,,,Python,,Filesystem,,46,dependency for machine learning apps,,,Kubernetes,5,,Kubernetes,5,2.02%,,,,BPMN,7,,BPMN,7,2.85%
13,Snakemake,https://snakemake.github.io/,,,Shell,,Filesystem,,40,,,,HTCondor,3,,other,35,14.17%,,,,C++,6,,C++,6,2.44%
